FoodGroup,FoodSecure,M_9_13y,F_9_13y,M_14_18y,F_14_18y,M_19_30y,F_19_30y,M_31_50y,F_31_50y,M_51_70y,F_51_70y
Fruits and vegetables,Food secure,,,,,5.5,4.8,5.2,4.9,5.7,5.2
Fruits and vegetables,Food insecure,,,,,4.2,3.5,5.5,3.8,4.6,4.6
Milk products,Food secure,,,,,2,1.6,1.6,1.5,1.4,1.3
Milk products,Food insecure,,,,,1.4,1.2,1.2,1.3,1,1
Grain products,Food secure,,,,,7.4,5.5,6.8,5,5.8,4.8
Grain products,Food insecure,,,,,7.2,4.4,6.6,4.7,5.9,4.2
Meat and alternatives,Food secure,,,,,4.9,2.9,5.2,3.4,4.9,3.5
Meat and alternatives,Food insecure,,,,,5.1,2.8,3.8,3.1,3.9,2.8
Inadequate protein (%),Food secure,,,13,24,,24,14,22,25,21
Inadequate protein (%),Food insecure,,,33,43,16,43,32,37,41,57
Mean sodium intake (mg/day),Food secure,3481,2963,4135,2925,4067,2760,3647,2792,3364,2584
Mean sodium intake (mg/day),Food insecure,3532,2910,4075,3049,4015,2568,3106,2410,2892,2399
Mean fat intake (g/day),Food secure,86.3,71.9,105.1,72.1,97.8,67.5,92.8,69.5,82,62.1
Mean fat intake (g/day),Food insecure,89.3,66.4,94.5,80.1,90.8,63.4,76.2,61.2,69.1,52.9
